### Characters to be converted/replaced in MTW IO ops
##  Version 1.1
Code	CharName	ReplCode	ReplChar
U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	U+0022	"
U+00AD	SOFT HYPHEN	U+002D	-
U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	U+0022	"
U+00BC	VULGAR FRACTION ONE QUARTER	str	1/4
U+00BD	VULGAR FRACTION ONE HALF	str	1/2
U+00B4	ACUTE ACCENT	U+0027	'
U+00B7	MIDDLE DOT	U+002A	*
U+00F7	DIVISION SIGN	U+002F	/
U+01C0	LATIN LETTER DENTAL CLICK	U+007C	|
U+01C3	LATIN LETTER RETROFLEX CLICK	U+0021	!
U+02B9	MODIFIER LETTER PRIME	U+0027	'
U+02BA	MODIFIER LETTER DOUBLE PRIME	U+0022	"
U+02BC	MODIFIER LETTER APOSTROPHE	U+0027	'
U+02C4	MODIFIER LETTER UP ARROWHEAD	U+005E	^
U+02C6	MODIFIER LETTER CIRCUMFLEX ACCENT	U+005E	^
U+02C8	MODIFIER LETTER VERTICAL LINE	U+0027	'
U+02CB	MODIFIER LETTER GRAVE ACCENT	U+0060	`
U+02CD	MODIFIER LETTER LOW MACRON	U+005F	_
U+02DC	SMALL TILDE	U+007E	~
U+02D0	MODIFIER LETTER TRIANGULAR COLON	U+003A	:
U+0300	COMBINING GRAVE ACCENT	U+0060	`
U+0301	COMBINING ACUTE ACCENT	U+0027	'
U+0302	COMBINING CIRCUMFLEX ACCENT	U+005E	^
U+0303	COMBINING TILDE	U+007E	~
U+030B	COMBINING DOUBLE ACUTE ACCENT	U+0022	"
